產品ID,標籤,產品名稱,類型,規格說明,單價,溫層,運費,免運數量,最低訂購量,是否售完,已售出數量,保存期限,保存方式,圖片檔名,備註說明
powder_case,常溫,啃酥專用粉,整件,4.5公斤 / 5包 / 1件,6000,常溫,150,0,1,否,128,12個月,常溫陰涼乾燥,powder_case.jpg,
powder_single,常溫,啃酥專用粉,單品項,4.5公斤 / 1包,1250,常溫,150,0,1,否,356,12個月,常溫陰涼乾燥,powder_single.jpg,
powder_gram,常溫,啃酥專用粉(克),單品項,以克計價｜1單位=10g；1公斤=數量100｜【制式規格】4.5公斤=數量450,3,常溫,150,0,450,否,5024,12個月,常溫陰涼乾燥,powder_gram.jpg,單位換算：1=10g；下單時依需求輸入數量
waterchest_case,冷凍,啃酥菱角仁,整件,3公斤 / 4包 / 1件,3500,冷凍,200,0,1,否,95,冷凍12個月,-18°C 冷凍,waterchest_case.jpg,
waterchest_single,冷凍,啃酥菱角仁,單品項,3公斤 / 1包,990,冷凍,200,0,1,否,210,冷凍12個月,-18°C 冷凍,waterchest_single.jpg,
waterchest_catty,冷凍,啃酥菱角仁(斤),單品項,每斤（約600g）,240,冷凍,200,0,1,否,1066,冷凍12個月,-18°C 冷凍,waterchest_catty.jpg,
milkfried_case,冷凍,啃酥炸鮮奶,整件,6條 / 16盒 / 1件,1900,冷凍,200,0,1,否,41,冷凍6個月,-18°C 冷凍,milkfried_case.jpg,
milkfried_single,冷凍,啃酥炸鮮奶,單品項,6條 / 1盒,130,冷凍,200,0,1,否,280,冷凍6個月,-18°C 冷凍,milkfried_single.jpg,
fat_case,冷凍,啃酥專用脂,整件,330毫升 / 10瓶 / 1件,880,冷凍,200,0,1,否,33,冷凍6個月,-18°C 冷凍,fat_case.jpg,
fat_single,冷凍,啃酥專用脂,單品項,330毫升 / 1瓶,95,冷凍,200,0,1,否,402,冷凍6個月,-18°C 冷凍,fat_single.jpg,
taro_case,冷藏,啃酥芋泥丁,整件,750公克 / 10盒 / 1件,3550,冷藏,180,0,1,否,0,30天（依包裝）,0–7°C 冷藏,taro_case.jpg,示意圖
taro_single,冷藏,啃酥芋泥丁,單品項,750公克 / 1盒,380,冷藏,180,0,1,否,0,30天（依包裝）,0–7°C 冷藏,taro_single.jpg,示意圖
cheese_case,冷凍,啃酥乳酪丁,整件,1公斤 / 10包 / 1件,4200,冷凍,180,0,1,否,0,30天（依包裝）,冷凍保存；使用前一天冷藏退冰,cheese_case.jpg,
cheese_single,冷凍,啃酥乳酪丁,單品項,1公斤 / 1包,450,冷凍,180,0,1,否,0,30天（依包裝）,冷凍保存；使用前一天冷藏退冰,cheese_single.jpg,
equip_fryer15,設備,15型油炸鍋,單台,1台,9200,常溫,300,0,1,否,0,—,常溫,equip_fryer15.jpg,
equip_fryer25,設備,25型油炸鍋,單台,1台,11200,常溫,300,0,1,否,0,—,常溫,equip_fryer25.jpg,
equip_mixer220,設備,220V攪拌機（12公升）,單台,1台,13000,常溫,150,0,1,否,0,—,常溫,equip_mixer220.jpg,
equip_mixer110,設備,110V攪拌鍋（10公升）,單台,1台,11500,常溫,150,0,1,否,0,—,常溫,equip_mixer110.jpg,
equip_steamer110,設備,110V電蒸鍋,單台,1台,2480,常溫,150,0,1,否,0,—,常溫,equip_steamer110.jpg,
equip_timer3,設備,三合一計時器,單品項,1台,550,常溫,60,0,1,否,0,—,常溫,equip_timer3.jpg,
equip_divider,設備,炸鍋分隔板,單品項,1個,1480,常溫,60,0,1,否,0,—,常溫,equip_divider.jpg,
